TreeID,long,lat,species,latin species,year planted,diameter canopy,dbh,height,biomass
2,389813.1332,5816624,Silber-Linde,Tilia tomentosa,1976,8,38.19718634,20,15.98900346
3,389807.2346,5816624,Silber-Linde,Tilia tomentosa,1985,7,25.46479089,16,15.91096283
4,389851.3517,5816703,Spitz-Ahorn,Acer platanoides,1966,9,39.47042589,12,25.63064552
5,389848.1932,5816694,Linde,Tilia spec.,1993,4,24.82817112,12,15.55486305
6,389915.9215,5816709,Dreidorniger Lederhülsenbaum,Gleditsia triacanthos,1987,6,28.96619964,9,200.3823417
7,389924.1101,5816706,Dreidorniger Lederhülsenbaum,Gleditsia triacanthos,1990,6,26.10141067,9,163.5216608
8,389927.8021,5816710,Dreidorniger Lederhülsenbaum,Gleditsia triacanthos,1993,4,25.14648101,10,168.5147974
9,390102.589,5816645,Hainbuche,Carpinus betulus,1955,6,25.14648101,12,253.3147478
10,390084.9485,5816639,Hainbuche,Carpinus betulus,1978,9,31.51267873,17,555.3595288
11,390133.1675,5816677,Urweltmammutbaum,Metasequoia glyptostroboides,1953,9,78.94085177,20,3092.038673
12,390114.1707,5816707,Hainbuche,Carpinus betulus,1955,8,62.07042781,12,1509.267823
13,390018.5759,5816601,Linde,Tilia spec.,1955,5,30.23943919,12,19.01205959
14,390196.2795,5816656,Hainbuche,Carpinus betulus,1982,6.5,25.46479089,15,322.822093
15,390173.7917,5816605,Spitz-Ahorn,Acer platanoides,1979,7.5,29.60281942,15,12.2188351
16,390159.0779,5816536,Eingriffliger Weissdorn,Crataegus monogyna,1989,4,23.87324146,7,107.4992003
17,390245.3373,5816529,Westlicher Zürgelbaum,Celtis orientalis,1981,4,25.46479089,7,121.931889
18,390239.9767,5816511,Vogelbeere,Sorbus aucuparia,1985,5,25.46479089,10,172.7036893
19,390226.3085,5816535,Linde,Tilia spec.,1994,7,30.87605896,10,19.4848392
20,390201.6625,5816535,Ulme,Ulmus spec.,2001,2,12.41408556,7,10.29181807
21,390178.3714,5816548,Rot-Buche,Fagus sylvatica,1983,5,31.51267873,18,726.7052631
22,390170.0144,5816527,Hainbuche,Carpinus betulus,1987,5,23.87324146,10,191.9277888
23,390170.8259,5816500,Hainbuche,Carpinus betulus,1991,5,22.60000192,10,172.6970282
24,390167.1272,5816499,Hainbuche,Carpinus betulus,1985,6,23.55493158,12,223.0855726
25,390131.9901,5816554,Robinie,Robinia pseudoacacia,1973,10,44.24507418,14,705.108278
26,390134.5816,5816536,Feld-Ahorn,Acer campestre,1997,2,67.16338598,7,100.7509416
27,390087.0675,5816573,Hainbuche,Carpinus betulus,1995,3,15.59718442,5,46.23172631
28,390074.7289,5816543,Gemeine Eibe,Taxus baccata,1989,4,48.70141259,6,371.9317502
29,390081.0102,5816566,Feld-Ahorn,Acer campestre,1994,4,26.41972055,8,19.11606385
30,390078.5859,5816551,Feld-Ahorn,Acer campestre,1993,4,28.01126998,5,20.59806776
31,389982.3594,5816509,Linde,Tilia spec.,1978,8,35.33239737,13,13.20463609
32,390091.5905,5816488,Linde,Tilia spec.,1992,8,27.6929601,12,17.26211183
33,390078.7419,5816497,Linde,Tilia spec.,1989,8.5,29.28450953,14,18.32957549
34,390100.3765,5816537,Feld-Ahorn,Acer campestre,1983,9.5,31.83098862,7,14.72954606
35,390151.92,5816655,Hainbuche,Carpinus betulus,1955,12,90.71831756,17,4553.671761
36,390185.4977,5816477,Eiche,Quercus spec.,1921,,74.80282325,17,1521.33621
37,390201.1289,5816477,Eiche,Quercus spec.,1930,,70.34648485,17,1341.237129
38,390208.9516,5816478,Eiche,Quercus spec.,1953,,50.92958179,12,691.456744
39,390231.7539,5816483,Eiche,Quercus spec.,1926,,68.75493542,17,1279.730958
40,390239.1821,5816486,Eiche,Quercus spec.,1907,16,84.03380995,20,1931.478293
41,390230.4793,5816497,Spitz-Ahorn,Acer platanoides,1926,12,67.80000576,20,103.228515
42,390246.0876,5816488,Spitz-Ahorn,Acer platanoides,1974,6,31.51267873,15,14.35322697
43,390248.4505,5816498,Gewöhnliche Esche,Fraxinus excelsior,2006,4,19.09859317,8,16.1716048
44,390253.4311,5816492,Eiche,Quercus spec.,1902,18,87.21690881,25,2084.545725
45,390245.0202,5816474,Eiche,Quercus spec.,1929,14,68.75493542,20,1279.730958
46,390237.0002,5816471,Eiche,Quercus spec.,1933,3,62.70704758,12,1059.478788
47,390229.8389,5816469,Eiche,Quercus spec.,1927,16,67.16338598,20,1219.703576
48,390198.9592,5816464,Eiche,Quercus spec.,1923,12,72.25634416,17,1416.998979
49,390190.9236,5816463,Eiche,Quercus spec.,1949,8,50.6112719,14,682.6209573
50,390182.7033,5816464,Eiche,Quercus spec.,1925,12,69.39155519,19,1304.155874
51,390175.0148,5816465,Eiche,Quercus spec.,1932,8,63.66197724,17,1092.839859
52,390161.2105,5816468,Eiche,Quercus spec.,1924,13,70.34648485,17,1341.237129
53,390147.4151,5816474,Eiche,Quercus spec.,1940,12,59.52394872,17,952.0996026
54,390141.0293,5816476,Eiche,Quercus spec.,1933,12,63.66197724,17,1092.839859
55,390147.1142,5816488,Ulme,Ulmus spec.,1968,,42.01690498,15,16.76374495
56,390143.9418,5816489,Eiche,Quercus spec.,1968,6,34.69577759,15,314.6492288
57,390146.8495,5816494,Spitz-Ahorn,Acer platanoides,1923,10,77.34930234,20,144.9319308
58,390139.5142,5816497,Robinie,Robinia pseudoacacia,1965,,42.65352475,,656.4467305
59,390150.6378,5816509,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1948,8,52.20282133,20,52.65428938
60,390147.487,5816508,Spitz-Ahorn,Acer platanoides,1957,9,45.51831372,20,36.99944358
61,390139.2037,5816508,Eiche,Quercus spec.,1911,,84.98873961,,1976.77048
62,390141.6321,5816516,Hainbuche,Carpinus betulus,1971,,35.96901714,,16.7
63,390147.874,5816526,Spitz-Ahorn,Acer platanoides,1922,10,74.48451337,20,131.5094972
64,390132.1415,5816534,Eschen-Ahorn,Acer negundo,1959,10,44.88169395,14,35.68153259
65,390148.4521,5816559,Götterbaum,Ailanthus altissima,1947,10,56.02253997,22,1737.461638
66,390087.9711,5816560,Hainbuche,Carpinus betulus,1964,8,38.19718634,12,575.7197673
67,390084.1972,5816557,Spitz-Ahorn 'Schwedleri',Acer platanoides 'Schwedleri',1960,7,35.01408748,12,18.82693687
68,390065.0854,5816534,Ahornblättrige Platane,Platanus acerifolia,1955,15,183.3464944,25,19916.09075
69,390059.2186,5816528,Ahornblättrige Platane,Platanus acerifolia,1891,14,102.4957834,20,5147.660515
70,390044.0657,5816530,Winter-Linde,Tilia cordata,1923,10,66.52676621,20,62.40189779
71,390022.2652,5816540,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1872,3,125.0957853,7,4368.487878
72,390021.8661,5816552,Kirsche,Prunus spec.,1955,13,49.65634224,17,1067.498623
73,390013.9708,5816542,Winter-Linde,Tilia cordata,1921,14,98.9943746,20,165.5111778
74,390008.2141,5816531,Winter-Linde,Tilia cordata,1944,10,56.02253997,20,40.92907897
75,389996.3671,5816542,Eiche,Quercus spec.,1925,14,72.89296394,25,1442.727205
76,389998.7893,5816545,Eiche,Quercus spec.,1955,12,47.42817304,25,597.4625509
77,390157.2902,5816483,Eiche,Quercus spec.,1919,,77.34930234,17,1629.475539
78,390014.9734,5816562,Spitz-Ahorn 'Schwedleri',Acer platanoides 'Schwedleri',1900,21,91.99155711,25,226.4891478
79,390009.9144,5816565,Hainbuche,Carpinus betulus,1958,11,44.24507418,16,1024.665826
80,389997.7809,5816556,Winter-Linde,Tilia cordata,1930,8,81.48733086,18,102.6590652
81,389980.6659,5816553,Spitz-Ahorn,Acer platanoides,1933,12,53.79437077,18,56.88796728
82,389973.5895,5816551,Winter-Linde,Tilia cordata,1934,10,79.57747155,20,96.85435465
83,389970.7614,5816557,Winter-Linde,Tilia cordata,1946,8,58.25070917,20,45.04040084
84,389963.8459,5816550,Trauben-Eiche,Quercus petraea,1917,12,80.21409132,20,1556.311153
85,389963.5677,5816545,Hainbuche,Carpinus betulus,1957,8,47.74648293,15,1118.066733
86,389981.0721,5816544,Winter-Linde,Tilia cordata,1944,10,57.29577951,18,43.24984591
87,389964.4832,5816531,Gewöhnliche Esche,Fraxinus excelsior,1947,9,58.88732894,18,108.576955
88,389974.5304,5816529,Ahornblättrige Platane,Platanus acerifolia,1895,15,93.58310654,20,4310.118645
89,389982.5082,5816520,Linde,Tilia spec.,1965,10,46.1549335,17,25.4404116
90,389966.3587,5816507,Eiche,Quercus spec.,1926,10,67.80000576,18,1243.537187
91,389964.8819,5816505,Eiche,Quercus spec.,1933,10,42.01690498,18,466.001164
92,389974.6439,5816501,Eiche,Quercus spec.,1955,8,43.92676429,17,510.4905022
93,389974.8492,5816498,Eiche,Quercus spec.,1935,9,60.79718826,18,994.3457976
94,389970.4545,5816485,Scharlach-Kastanie,Aesculus carnea 'Briotii',1912,10,84.98873961,18,1517.778216
95,389964.7388,5816556,Eiche,Quercus spec.,1937,8,60.79718826,18,994.3457976
96,390011.1126,5816554,Gemeine Rosskastanie,Aesculus hippocastanum,1913,18,77.03099246,25,3664.941133
97,390165.1073,5816480,Eiche,Quercus spec.,1958,,49.65634224,12,656.462897
98,389971.6199,5816454,Hainbuche,Carpinus betulus,1961,8,41.69859509,17,967.3719899
99,389971.7964,5816439,Linde,Tilia spec.,1930,12,68.11831564,20,66.12965622
100,389974.4605,5816471,Linde,Tilia spec.,1964,7,49.97465213,18,30.92229431
101,389978.033,5816482,Ulme,Ulmus spec.,1955,12,82.12395064,4,38.06301886
102,389979.8701,5816487,Hainbuche,Carpinus betulus,1975,6,31.19436885,17,544.3314779
103,389981.6561,5816486,Hainbuche,Carpinus betulus,1975,6,31.83098862,17,566.4995396
104,389988.7285,5816483,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1931,10,65.57183655,20,1161.153206
105,389990.9828,5816484,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1923,13,81.48733086,20,1813.327873
106,389988.4037,5816488,Hainbuche,Carpinus betulus,1980,4,27.05634033,13,315.9892456
107,389991.5146,5816490,Eiche,Quercus spec.,1949,7,52.20282133,17,727.3825564
108,389984.7548,5816506,Spitz-Ahorn,Acer platanoides,1905,14,90.08169779,20,214.5777134
109,389997.4728,5816499,Eiche,Quercus spec.,1925,10,8.912676813,17,19.36461942
110,390008.2117,5816476,Silber-Pappel,Populus alba,1950,14,67.48169587,18,2054.109191
111,389999.7571,5816465,Silber-Pappel,Populus alba,1942,17,68.11831564,17,1978.589925
112,389986.7308,5816454,Ahornblättrige Platane,Platanus acerifolia,1876,18,103.450713,20,5241.692705
113,390011.1167,5816448,Spitz-Ahorn,Acer platanoides,1919,17,71.61972439,20,118.8761045
114,390008.8467,5816443,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1898,20,107.5887415,20,3206.420848
115,390022.7339,5816449,Linde,Tilia spec.,1964,10,46.47324338,20,25.87316518
116,390024.6286,5816457,Linde,Tilia spec.,1964,10,44.88169395,18,23.75244541
117,390031.5435,5816467,Linde,Tilia spec.,1971,10,37.56056657,17,15.34290531
118,390037.721,5816473,Linde,Tilia spec.,1916,12,81.80564075,17,103.6460257
119,390026.2859,5816477,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1923,10,63.66197724,20,1092.839859
120,390026.6629,5816483,Linde,Tilia spec.,1930,13,63.34366735,18,55.32736696
121,390031.4858,5816508,Linde,Tilia spec.,1961,8,49.33803236,17,29.96448626
122,390170.5066,5816653,Linde,Tilia spec.,1946,4,53.15775099,10,35.98202044
123,390048.0222,5816506,Linde,Tilia spec.,1955,8,61.43380803,18,51.32270407
124,390049.5695,5816501,Winter-Linde,Tilia cordata,1955,10,71.61972439,17,74.78614003
125,390070.1904,5816509,Robinie,Robinia pseudoacacia,1953,9,47.74648293,7,415.9257277
126,390077.6508,5816508,Linde,Tilia spec.,1991,9.5,25.78310078,12,16.0939476
127,390082.7969,5816521,Spitz-Ahorn,Acer platanoides,1917,23,85.62535938,20,188.2974588
128,390120.8734,5816521,Eingriffliger Weissdorn,Crataegus monogyna,1974,8,30.55774907,12,294.5400142
129,390120.0989,5816492,Winter-Linde,Tilia cordata,1966,12,34.69577759,12,12.62835825
130,390102.8672,5816485,Linde,Tilia spec.,1992,6.5,23.23662169,7,14.72130162
131,390040.6996,5816512,Eingriffliger Weissdorn,Crataegus monogyna,1955,6,50.29296202,7,460.3247025
132,390095.1473,5816479,Robinie,Robinia pseudoacacia,1943,14.5,62.38873769,12,1186.409752
133,390075.0082,5816485,Robinie,Robinia pseudoacacia,1955,5,41.06197532,7,309.8537539
134,390063.2266,5816491,Spitz-Ahorn,Acer platanoides,1940,18,56.97746963,17,65.96464095
135,390058.0668,5816491,Ulme,Ulmus spec.,1954,10,48.3831027,19,19.73061743
136,390051.688,5816478,Hainbuche,Carpinus betulus,1974,5,33.10422816,14,505.3299146
137,390046.6643,5816474,Winter-Linde,Tilia cordata,1959,9,39.78873577,16,17.67385698
138,390050.2954,5816472,Hainbuche,Carpinus betulus,1967,9,39.78873577,14,727.03029
139,390042.7747,5816462,Linde,Tilia spec.,1945,10,52.20282133,20,34.41632976
140,390042.1806,5816459,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1925,14,69.0732453,18,1291.913833
141,390042.7458,5816449,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1941,9,49.01972247,20,639.3150836
142,390048.1322,5816453,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1955,10,56.65915974,20,860.4789431
143,390047.3929,5816445,Ahorn,Acer spec.,1938,8,56.02253997,20,43.9897045
144,390040.5646,5816444,Linde,Tilia spec.,1945,4,57.6140894,13,43.84191754
145,390049.3486,5816428,Spitz-Ahorn,Acer platanoides,1923,10,74.80282325,20,132.9615946
146,390035.3381,5816440,Linde,Tilia spec.,1945,8,33.74084794,16,11.79235207
147,390027.1999,5816431,Linde,Tilia spec.,1947,10,52.83944111,20,35.45553575
148,390157.1614,5816667,Linde,Tilia spec.,1969,7,38.51549623,17,16.31798908
149,390157.5215,5816673,Spitz-Ahorn,Acer platanoides,1954,10,49.65634224,18,46.29184774
150,390156.6242,5816679,Spitz-Ahorn,Acer platanoides,1941,12,63.02535746,17,85.53264342
151,390172.6817,5816674,Feld-Ahorn,Acer campestre,1955,10,58.88732894,17,71.80972782
152,390158.2592,5816693,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1967,5,41.06197532,13,28.3771598
153,390165.5093,5816701,Japanischer Schnurbaum,Sophora japonica,1913,10,77.66761223,13,627.1042668
154,390157.0895,5816712,Gemeine Eibe,Taxus baccata,1955,6,59.20563883,9,808.9094643
155,390162.4354,5816719,Sand-Birke,Betula pendula,1962,11,42.97183463,17,34.68283776
156,390177.9826,5816732,Spitz-Ahorn,Acer platanoides,1945,16,61.43380803,17,80.0807237
157,390180.3863,5816725,Robinie,Robinia pseudoacacia,1933,7.5,62.38873769,12,1186.409752
158,390116.2634,5816718,Götterbaum,Ailanthus altissima,1957,8,43.92676429,10,500.626618
159,390195.1724,5816725,Spitz-Ahorn,Acer platanoides,1959,10,47.10986316,17,40.42316424
160,390196.1211,5816731,Spitz-Ahorn,Acer platanoides,1949,13,64.93521678,17,92.36724855
161,390195.0378,5816734,Gemeine Rosskastanie,Aesculus hippocastanum,2005,3,12.73239545,5,22.69267993
162,390195.6313,5816742,Gemeine Rosskastanie,Aesculus hippocastanum,1925,14,76.39437268,17,2474.915933
163,390213.8754,5816723,Spitz-Ahorn,Acer platanoides,1952,12,50.92958179,18,49.41044101
164,390198.78,5816710,Gewöhnliche Esche,Fraxinus excelsior,2005,2,18.14366351,3,15.41588011
165,390201.2768,5816715,Spitz-Ahorn,Acer platanoides,1972,7,35.01408748,10,18.82693687
166,390211.1016,5816737,Esche,Fraxinus spec.,1934,10,66.20845633,18,146.3316343
167,390211.6876,5816712,Spitz-Ahorn,Acer platanoides,1966,9,40.10704566,17,26.70874942
168,390199.9945,5816701,Spitz-Ahorn,Acer platanoides,1934,12.5,75.75775291,17,137.3765751
169,390189.618,5816690,Esche,Fraxinus spec.,1963,9.5,42.97183463,12,48.67053376
170,390196.1021,5816683,Spitz-Ahorn 'Schwedleri',Acer platanoides 'Schwedleri',1975,9,31.19436885,14,13.9828478
171,390199.7804,5816663,Spitz-Ahorn 'Schwedleri',Acer platanoides 'Schwedleri',1942,16,62.07042781,17,82.23515031
172,390190.5455,5816648,Linde,Tilia spec.,1934,17,66.8450761,17,63.13720838
173,390185.3376,5816635,Linde,Tilia spec.,1967,7,37.24225668,17,15.02576265
174,390180.8523,5816633,Japanischer Schnurbaum 'Princeton Upright',Sophora japonica 'Princeton Upright',1956,15,43.92676429,18,205.2413644
175,390174.2946,5816632,Japanischer Schnurbaum 'Princeton Upright',Sophora japonica 'Princeton Upright',1957,10,43.92676429,14,205.2413644
176,390193.9909,5816629,Japanischer Schnurbaum,Sophora japonica,1941,15,59.52394872,17,371.6714642
